Date,Open,High,Low,Close,Adj Close,Volume
6/1/2018,0.003427,0.003836,0.002293,0.002499,0.002499,252172920
7/1/2018,0.002508,0.004314,0.002187,0.002945,0.002945,301184320
8/1/2018,0.003018,0.004849,0.002143,0.004794,0.004794,273763090
9/1/2018,0.004741,0.006933,0.004337,0.005906,0.005906,1262094700
10/1/2018,0.005901,0.006024,0.003676,0.003764,0.003764,429941130
11/1/2018,0.003759,0.003951,0.002006,0.002165,0.002165,418716576
12/1/2018,0.002175,0.002779,0.002031,0.002346,0.002346,617721598
1/1/2019,0.002346,0.002458,0.001912,0.001925,0.001925,511305663
2/1/2019,0.001926,0.002139,0.001835,0.001976,0.001976,499741541
3/1/2019,0.001976,0.002166,0.001947,0.00208,0.00208,562498635
4/1/2019,0.002082,0.004096,0.002078,0.002513,0.002513,1400015460
5/1/2019,0.00251,0.0036,0.002449,0.003441,0.003441,1675945265
6/1/2019,0.003443,0.003523,0.002978,0.003258,0.003258,1842322398
7/1/2019,0.00325,0.004471,0.002772,0.002899,0.002899,1162658709
8/1/2019,0.0029,0.003316,0.002392,0.002511,0.002511,692307031
9/1/2019,0.002512,0.002993,0.002076,0.002387,0.002387,1158043569
10/1/2019,0.002393,0.002932,0.002283,0.002615,0.002615,1988136532
11/1/2019,0.002617,0.002785,0.002128,0.00232,0.00232,2615821534
12/1/2019,0.00232,0.002394,0.001997,0.002028,0.002028,2184690625
1/1/2020,0.002028,0.00257,0.001983,0.002394,0.002394,2631362276
2/1/2020,0.002391,0.003531,0.002211,0.002235,0.002235,4372172774
3/1/2020,0.002233,0.002531,0.001247,0.001811,0.001811,4611118989
4/1/2020,0.001812,0.002689,0.001776,0.002443,0.002443,5361384360
5/1/2020,0.002444,0.002678,0.002338,0.002555,0.002555,7437597901
6/1/2020,0.002555,0.002669,0.002283,0.00232,0.00232,5370527587
7/1/2020,0.00232,0.00542,0.002277,0.003225,0.003225,4773261866
8/1/2020,0.003225,0.003797,0.003165,0.003221,0.003221,2162711149
9/1/2020,0.00322,0.003281,0.002558,0.002642,0.002642,2481227320
10/1/2020,0.002644,0.002893,0.002518,0.002576,0.002576,1831128338
11/1/2020,0.002576,0.004256,0.002452,0.003551,0.003551,2087948675
12/1/2020,0.003551,0.005406,0.003009,0.004682,0.004682,3671185781
1/1/2021,0.004681,0.077973,0.004615,0.037196,0.037196,60330080446
2/1/2021,0.037054,0.084945,0.029195,0.048052,0.048052,1.35E+11
3/1/2021,0.04807,0.063052,0.047879,0.053657,0.053657,38710898712
4/1/2021,0.053655,0.4377,0.053644,0.337561,0.337561,3.51E+11
5/1/2021,0.337559,0.737567,0.218267,0.32581,0.32581,4.15E+11
6/1/2021,0.325744,0.44459,0.164654,0.254215,0.254215,1.00E+11
7/1/2021,0.253828,0.260092,0.160728,0.208314,0.208314,52083116246
8/1/2021,0.207753,0.350953,0.19375,0.278453,0.278453,1.06E+11
9/1/2021,0.278062,0.319751,0.194489,0.204244,0.204244,53499067956
10/1/2021,0.204427,0.338843,0.201994,0.280244,0.280244,99274048636
11/1/2021,0.280123,0.285551,0.254711,0.261465,0.261465,10675607769
11/6/2021,0.26088,0.267161,0.260113,0.261234,0.261234,1451856256
